filename,transcript
rep_0370.wav,five nine seven seven five
cs_0256.wav,zulu hotel zero papa romeo
cs_0575.wav,kilo one victor yankee
rep_0338.wav,five nine four eight zero
rep_0311.wav,five nine three one three
rep_0041.wav,five nine nine three four
cs_0704.wav,november romeo eight hotel oscar
cs_0355.wav,tango victor nine tango november
rep_0229.wav,five nine nine five four
cs_0643.wav,papa oscar two papa x-ray
cs_0106.wav,juliett romeo four quebec bravo november
cs_0366.wav,alpha foxtrot nine november victor
cs_0174.wav,hotel victor eight echo golf sierra
cs_0370.wav,november mike six oscar yankee
cs_0709.wav,juliett four foxtrot mike
rep_0331.wav,five nine seven six eight six
cs_0895.wav,hotel mike zero papa
cs_0550.wav,golf nine delta
cs_0432.wav,whiskey oscar seven india alpha
cs_0064.wav,juliett romeo four delta november x-ray
cs_0282.wav,kilo victor one victor
cs_0112.wav,juliett quebec six juliett kilo golf
cs_0945.wav,november oscar five foxtrot
rep_0380.wav,five nine seven seven six
rep_0226.wav,five nine seven eight zero
cs_0690.wav,yankee two uniform
cs_0829.wav,kilo tango one charlie echo
cs_0873.wav,juliett alpha six echo bravo
rep_0047.wav,five nine six two three
cs_0539.wav,whiskey zulu two quebec golf
cs_0016.wav,juliett bravo one charlie quebec golf
rep_0231.wav,five nine two eight eight
cs_0175.wav,juliett zero sierra whiskey charlie
cs_0407.wav,whiskey six papa yankee
rep_0126.wav,five nine zero nine one
cs_0530.wav,hotel romeo five zulu juliett
rep_0130.wav,five nine five nine three
cs_0115.wav,juliett delta two golf x-ray romeo
cs_0517.wav,bravo uniform five echo zulu
rep_0333.wav,five nine one four seven
cs_0485.wav,november echo eight juliett
cs_0805.wav,november quebec zero foxtrot delta
cs_0933.wav,kilo seven delta hotel
cs_0655.wav,whiskey two bravo victor
cs_0537.wav,bravo echo three lima india
cs_0936.wav,kilo india six lima zulu
rep_0027.wav,five nine five seven one one
cs_0166.wav,whiskey hotel six november victor zulu
rep_0383.wav,five nine zero nine five
cs_0017.wav,juliett oscar eight zulu quebec india
rep_0366.wav,five nine
cs_0063.wav,juliett juliett zero zulu juliett tango
rep_0316.wav,five nine
cs_0335.wav,juliett bravo nine papa x-ray
rep_0396.wav,five nine zero seven seven
cs_0254.wav,golf alpha one bravo
cs_0130.wav,juliett uniform one tango india kilo
cs_0680.wav,kilo zulu nine juliett
rep_0236.wav,five nine four seven five
cs_0134.wav,juliett foxtrot five uniform whiskey foxtrot
cs_0299.wav,juliett uniform one romeo
cs_0253.wav,whiskey zero echo
cs_0691.wav,kilo whiskey one sierra
rep_0058.wav,five nine five one zero
rep_0306.wav,five nine seven two one
cs_0967.wav,whiskey two victor x-ray
cs_0769.wav,uniform golf one charlie
rep_0297.wav,five nine nine two three
cs_0475.wav,kilo zero november kilo
cs_0589.wav,delta november three x-ray x-ray
cs_0860.wav,hotel whiskey three whiskey bravo
rep_0193.wav,five nine three five one
rep_0347.wav,five nine six four two
cs_0047.wav,juliett foxtrot zero delta foxtrot oscar
rep_0235.wav,five nine nine nine four
cs_0210.wav,kilo six alpha quebec hotel
cs_0204.wav,india lima seven zulu delta tango
cs_0474.wav,victor zulu one victor victor
rep_0239.wav,five nine two nine two
cs_0490.wav,november sierra four sierra
cs_0263.wav,india whiskey one oscar
rep_0032.wav,five nine eight four zero
rep_0062.wav,five nine seven seven two
cs_0463.wav,uniform alpha three india bravo
cs_0338.wav,charlie six juliett
cs_0360.wav,zulu charlie four bravo golf
rep_0384.wav,five nine three four five two
cs_0125.wav,juliett victor two x-ray kilo hotel
cs_0973.wav,tango whiskey five charlie yankee
rep_0199.wav,five nine one seven seven
cs_0503.wav,bravo victor seven foxtrot mike
cs_0218.wav,juliett five juliett november golf
cs_0350.wav,x-ray yankee seven x-ray bravo
cs_0074.wav,juliett echo nine quebec romeo mike
cs_0272.wav,hotel two foxtrot
rep_0270.wav,five nine one eight one
cs_0010.wav,juliett golf two oscar lima tango
cs_0080.wav,juliett juliett nine kilo mike x-ray
cs_0060.wav,juliett delta eight charlie quebec zulu
cs_0876.wav,whiskey seven yankee tango
cs_0734.wav,bravo alpha nine uniform tango
rep_0142.wav,five nine three zero three
rep_0080.wav,five nine four nine six
rep_0346.wav,five nine two zero six
rep_0365.wav,five nine one three nine
cs_0653.wav,november delta nine hotel
rep_0228.wav,five nine two six zero
cs_0454.wav,charlie echo three india november
rep_0267.wav,five nine
cs_0579.wav,x-ray five yankee oscar
cs_0278.wav,echo five victor oscar
cs_0868.wav,yankee eight sierra kilo
cs_0042.wav,juliett bravo five golf echo hotel
cs_0674.wav,yankee delta zero juliett whiskey
cs_0246.wav,kilo mike three x-ray papa foxtrot
cs_0996.wav,november two charlie alpha
cs_0941.wav,juliett mike six x-ray tango
rep_0349.wav,five nine seven seven two nine
rep_0233.wav,five nine six five four
cs_0148.wav,juliett india two zulu alpha echo
cs_0212.wav,whiskey india zero sierra kilo whiskey
rep_0361.wav,five nine
cs_0358.wav,golf echo nine juliett
cs_0700.wav,bravo india four uniform tango
cs_0324.wav,foxtrot charlie six zulu
cs_0295.wav,lima echo seven alpha oscar
cs_0890.wav,november quebec five papa whiskey
cs_0326.wav,november two echo delta
rep_0164.wav,five nine seven two eight
